Mês,Ano,Interno,Externo
02,2014,2540,260
03,2014,4771,410
04,2014,5732,425
05,2014,5756,569
06,2014,5286,426
07,2014,2651,311
08,2014,4682,418
09,2014,5180,484
10,2014,4588,464
11,2014,4317,411
12,2014,4190,455
01,2015,4423,431
02,2015,3813,433
03,2015,5143,476
04,2015,5958,505
05,2015,6552,519
06,2015,6029,469
07,2015,4984,502
08,2015,4682,448
09,2015,3491,483
10,2015,4460,436
11,2015,3771,425
12,2015,4739,432
01,2016,4375,443
02,2016,3987,420
03,2016,4429,400
04,2016,6040,405
05,2016,4376,389
06,2016,5285,492
07,2016,5345,478
08,2016,4897,480
09,2016,4339,416
10,2016,3936,414
11,2016,4170,397
12,2016,4276,441
01,2017,3785,380
02,2017,3391,390
03,2017,4560,395
04,2017,4709,397
05,2017,4340,521
06,2017,5150,459
07,2017,4802,471
08,2017,4463,450
09,2017,4591,388
10,2017,3941,467
11,2017,4284,434
12,2017,3924,484
01,2018,4379,488
02,2018,3415,355
03,2018,4165,459
04,2018,4168,451
05,2018,4894,466
06,2018,4494,450
07,2018,4373,520
08,2018,4934,502
09,2018,4363,419
10,2018,3767,486
11,2018,4339,477
12,2018,4039,493
01,2019,4060,468
02,2019,3331,400
03,2019,3718,389
04,2019,4850,460
05,2019,5849,465
06,2019,5644,474
07,2019,5195,449
08,2019,3853,479
09,2019,4811,463
10,2019,4840,486
11,2019,4051,452
12,2019,4474,461
01,2020,3819,420
02,2020,3128,401
03,2020,4448,386
04,2020,2813,282
05,2020,1904,216
06,2020,1622,271
07,2020,1829,212
08,2020,1657,218
09,2020,1819,282
10,2020,1995,290
11,2020,2110,339
12,2020,2070,345
01,2021,2094,303
02,2021,2041,301
03,2021,2406,342
04,2021,1849,339
05,2021,1926,437
06,2021,2017,441
07,2021,1940,410
08,2021,2491,398
09,2021,2164,396
10,2021,2292,379
11,2021,2621,367
12,2021,2745,431
01,2022,2814,343
02,2022,2683,371
03,2022,2557,420
04,2022,2455,386
05,2022,3368,442
06,2022,3010,429
07,2022,3284,462
08,2022,2920,438
09,2022,2752,411
10,2022,2785,442
11,2022,2820,435
12,2022,2487,426
01,2023,2626,444
02,2023,2210,375
03,2023,2436,479
04,2023,3468,427
05,2023,3108,456
06,2023,3978,427
07,2023,3551,473
08,2023,2656,490
09,2023,2482,395
10,2023,2642,411
11,2023,2912,460
12,2023,3263,436
01,2024,3254,430
02,2024,2467,407
03,2024,3320,487
04,2024,3872,463
05,2024,4737,513
06,2024,4683,459
07,2024,4385,484
08,2024,3425,522
09,2024,3039,466
10,2024,3348,469
11,2024,2904,404
12,2024,3540,471
01,2025,3217,560
02,2025,2253,211
